matricula_funcionario;Nombre Funcionario;Cargo;codigo_tienda;nombre_tienda;codigo_producto;descripcion_producto;Categoria;precio_costo;valor_unitario;cantidad;comision;dt_venta;dt_entrega
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;1;;10/02/20 14:22;10/02/20 16:40
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;1;;24/04/20 13:12;24/04/20 14:33
123456111;José María;Vendedor;CL001;Tienda Matriz;10014;Heladera;Electrodomésticos;699,9;1346,9;1;;11/01/20 9:18;14/01/20 17:29
123456111;José María;Vendedor;CL001;Tienda Matriz;10019;Sofá;Casa;789,9;1399;1;;23/02/19 17:35;27/02/19 11:32
123456111;José María;Vendedor;CL001;Tienda Matriz;10014;Heladera;Electrodomésticos;699,9;1346,9;1;;2/05/19 13:17;5/05/19 15:30
123456111;José María;Vendedor;CL001;Tienda Matriz;10013;Fogón;Electrodomésticos;210,9;404,1;1;;5/11/19 10:19;12/11/19 15:30
123456111;José María;Vendedor;CL001;Tienda Matriz;10011;Licuadora;Cocina;59,9;142,4;1;;21/02/19 12:29;21/02/19 17:46
123456111;José María;Vendedor;CL001;Tienda Matriz;10012;Procesador de alimentos;Cocina;110;189,9;1;;4/05/20 14:58;5/05/20 14:00
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;1;;7/08/19 17:19;7/08/19 17:22
123456111;José María;Vendedor;CL001;Tienda Matriz;10013;Fogón;Electrodomésticos;210,9;404,1;1;;6/05/20 15:04;11/05/20 16:00
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;1;;30/09/20 16:26;30/09/20 17:01
123456111;José María;Vendedor;CL001;Tienda Matriz;10012;Procesador de alimentos;Cocina;110;189,9;1;;15/12/19 13:32;16/12/19 11:32
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;3;;4/05/20 17:37;5/05/20 13:27
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;3;;8/10/19 11:48;9/10/19 11:32
123456111;José María;Vendedor;CL001;Tienda Matriz;10016;Guarda Ropa;Casa;489,9;999;3;;12/05/19 11:35;14/05/19 9:40
123456111;José María;Vendedor;CL001;Tienda Matriz;10007;Batidora;Cocina;49,9;95,9;3;;2/12/19 17:51;3/12/19 17:22
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;3;;21/05/20 12:50;27/05/20 10:19
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;3;;9/10/19 13:16;9/10/19 16:32
123456111;José María;Vendedor;CL001;Tienda Matriz;10014;Heladera;Electrodomésticos;699,9;1346,9;3;;27/08/20 12:48;29/08/20 9:56
123456111;José María;Vendedor;CL001;Tienda Matriz;10014;Heladera;Electrodomésticos;699,9;1346,9;3;;25/05/19 15:22;28/05/19 14:18
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;3;;3/11/20 13:47;7/11/20 11:03
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;3;;13/12/19 17:48;14/12/19 9:34
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;3;;18/12/19 17:20;19/12/19 15:55
123456111;José María;Vendedor;CL001;Tienda Matriz;10013;Fogón;Electrodomésticos;210,9;404,1;3;;15/10/20 13:29;20/10/20 10:55
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;3;;17/06/20 15:12;17/06/20 15:20
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;3;;1/06/19 16:10;2/06/19 9:31
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;3;;2/06/20 9:16;2/06/20 11:03
123456111;José María;Vendedor;CL001;Tienda Matriz;10018;Colchón;Casa;109,9;249,9;3;;18/01/19 14:52;19/01/19 12:19
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;3;;5/03/20 12:58;11/03/20 10:27
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;7/08/20 13:11;7/08/20 14:53
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;3;;29/09/19 9:05;29/09/19 12:15
123456111;José María;Vendedor;CL001;Tienda Matriz;10012;Procesador de alimentos;Cocina;110;189,9;3;;30/09/19 16:49;1/10/19 14:55
123456111;José María;Vendedor;CL001;Tienda Matriz;10018;Colchón;Casa;109,9;249,9;3;;8/11/20 14:32;9/11/20 9:48
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;3;;9/11/19 14:08;10/11/19 10:13
123456111;José María;Vendedor;CL001;Tienda Matriz;10006;Aspiradora de piso;Casa;88,9;189,9;3;;16/07/19 16:12;17/07/19 14:39
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;3;;29/06/19 16:02;4/07/19 9:15
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;30/12/20 9:05;30/12/20 14:55
123456111;José María;Vendedor;CL001;Tienda Matriz;10003;Televisor;Electrodomésticos;1400,9;2279,99;3;;20/01/20 14:24;26/01/20 12:20
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;1/09/20 11:33;1/09/20 13:18
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;3;;16/07/19 15:57;17/07/19 15:26
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;3;;29/03/19 12:20;29/03/19 14:20
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;3;;20/08/19 12:56;21/08/19 10:12
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;3;;21/09/19 15:49;23/09/19 10:31
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;3;;6/11/19 13:34;7/11/19 9:12
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;3;;12/06/19 13:48;12/06/19 16:54
123456111;José María;Vendedor;CL001;Tienda Matriz;10012;Procesador de alimentos;Cocina;110;189,9;3;;8/12/20 11:42;9/12/20 11:27
123456111;José María;Vendedor;CL001;Tienda Matriz;10007;Batidora;Cocina;49,9;95,9;3;;30/05/20 13:02;31/05/20 10:41
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;7/11/20 16:48;8/11/20 12:03
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;6/02/19 10:06;7/02/19 9:23
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;3;;3/04/19 16:51;4/04/19 12:03
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;3;;20/04/20 17:07;21/04/20 9:43
123456111;José María;Vendedor;CL001;Tienda Matriz;10006;Aspiradora de piso;Casa;88,9;189,9;3;;31/08/19 13:47;31/08/19 13:56
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;26/03/20 11:01;26/03/20 11:04
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;3;0,09;31/10/19 15:12;5/11/19 15:44
123456111;José María;Vendedor;CL001;Tienda Matriz;10018;Colchón;Casa;109,9;249,9;3;;17/11/20 13:30;18/11/20 10:10
123456111;José María;Vendedor;CL001;Tienda Matriz;10012;Procesador de alimentos;Cocina;110;189,9;3;;19/03/19 9:12;19/03/19 12:46
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;3;;30/12/19 10:39;30/12/19 13:34
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;3;;6/04/20 11:11;6/04/20 14:58
123456111;José María;Vendedor;CL001;Tienda Matriz;10003;Televisor;Electrodomésticos;1400,9;2279,99;3;;3/01/20 11:28;10/01/20 11:00
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;3;0,09;4/05/20 16:16;8/05/20 15:06
123456111;José María;Vendedor;CL001;Tienda Matriz;10011;Licuadora;Cocina;59,9;142,4;3;;5/09/20 17:33;6/09/20 13:22
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;3;;28/02/20 13:46;29/02/20 12:22
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;3/06/19 16:50;3/06/19 17:05
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;3;;14/08/19 13:01;14/08/19 16:04
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;3;;18/02/20 11:01;18/02/20 15:21
123456111;José María;Vendedor;CL001;Tienda Matriz;10011;Licuadora;Cocina;59,9;142,4;3;;9/10/19 16:06;10/10/19 11:01
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;3;;9/06/20 15:47;11/06/20 10:21
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;3;;22/05/20 10:18;22/05/20 16:54
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;3;;19/04/19 16:43;19/04/19 16:47
123456111;José María;Vendedor;CL001;Tienda Matriz;10018;Colchón;Casa;109,9;249,9;3;;16/08/19 13:52;17/08/19 11:41
123456111;José María;Vendedor;CL001;Tienda Matriz;10006;Aspiradora de piso;Casa;88,9;189,9;3;;6/02/20 16:32;7/02/20 11:48
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;3;;29/06/20 11:46;29/06/20 12:38
123456111;José María;Vendedor;CL001;Tienda Matriz;10011;Licuadora;Cocina;59,9;142,4;3;;28/08/19 17:24;29/08/19 15:34
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;5/02/20 13:11;6/02/20 10:47
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;3;;28/04/20 10:19;28/04/20 15:40
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;3;;15/09/19 10:14;15/09/19 13:48
123456111;José María;Vendedor;CL001;Tienda Matriz;10018;Colchón;Casa;109,9;249,9;3;;21/03/19 16:30;22/03/19 15:22
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;3;;5/12/20 10:44;6/12/20 9:41
123456111;José María;Vendedor;CL001;Tienda Matriz;10019;Sofá;Casa;789,9;1399;3;;18/04/19 14:06;25/04/19 16:05
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;3;;22/01/19 13:29;22/01/19 17:13
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;2;;4/08/19 9:30;7/08/19 17:53
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;2;;9/03/20 15:04;10/03/20 10:45
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;2;;11/04/19 14:29;12/04/19 12:19
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;2;;18/05/19 14:03;19/05/19 13:34
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;2;;23/05/19 11:27;23/05/19 12:42
123456111;José María;Vendedor;CL001;Tienda Matriz;10007;Batidora;Cocina;49,9;95,9;2;;19/08/19 17:08;20/08/19 15:38
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;2;0,07;17/11/20 9:23;21/11/20 17:28
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;2;0,07;1/04/19 17:48;3/04/19 16:47
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;2;;28/10/20 11:06;28/10/20 17:45
123456111;José María;Vendedor;CL001;Tienda Matriz;10013;Fogón;Electrodomésticos;210,9;404,1;2;;1/12/19 15:25;3/12/19 13:33
123456111;José María;Vendedor;CL001;Tienda Matriz;10012;Procesador de alimentos;Cocina;110;189,9;2;;7/01/19 9:20;7/01/19 9:38
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;2;;10/10/19 17:58;11/10/19 11:53
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;2;;19/08/20 12:58;20/08/20 12:34
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;2;;25/05/20 12:45;26/05/20 10:13
123456111;José María;Vendedor;CL001;Tienda Matriz;10006;Aspiradora de piso;Casa;88,9;189,9;2;;29/08/20 16:15;30/08/20 11:36
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;2;;6/11/20 15:35;11/11/20 15:13
123456111;José María;Vendedor;CL001;Tienda Matriz;10018;Colchón;Casa;109,9;249,9;2;;7/09/19 16:57;8/09/19 13:52
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;2;;26/12/20 17:57;27/12/20 16:40
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;2;;7/11/19 17:59;8/11/19 11:32
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;2;;7/09/20 13:42;8/09/20 13:14
123456111;José María;Vendedor;CL001;Tienda Matriz;10007;Batidora;Cocina;49,9;95,9;2;;13/03/19 10:41;13/03/19 11:06
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;2;;23/09/20 15:12;29/09/20 12:53
123456111;José María;Vendedor;CL001;Tienda Matriz;10006;Aspiradora de piso;Casa;88,9;189,9;2;;30/08/19 16:15;31/08/19 11:18
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;2;;19/09/19 9:39;19/09/19 15:54
123456111;José María;Vendedor;CL001;Tienda Matriz;10019;Sofá;Casa;789,9;1399;2;;26/06/19 16:31;28/06/19 10:27
123456111;José María;Vendedor;CL001;Tienda Matriz;10006;Aspiradora de piso;Casa;88,9;189,9;2;;19/10/20 13:36;19/10/20 14:27
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;2;;8/04/19 14:30;9/04/19 12:50
123456111;José María;Vendedor;CL001;Tienda Matriz;10011;Licuadora;Cocina;59,9;142,4;2;;17/08/19 17:29;18/08/19 13:09
123456111;José María;Vendedor;CL001;Tienda Matriz;10003;Televisor;Electrodomésticos;1400,9;2279,99;2;;8/12/19 14:05;13/12/19 10:55
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;2;;14/05/19 16:47;15/05/19 16:26
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;2;0,07;25/08/20 17:30;30/08/20 11:25
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;2;;11/05/19 12:39;11/05/19 15:15
123456111;José María;Vendedor;CL001;Tienda Matriz;10003;Televisor;Electrodomésticos;1400,9;2279,99;2;;30/05/19 14:22;4/06/19 11:34
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;2;;29/07/19 14:28;29/07/19 16:05
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;2;;28/08/19 16:49;29/08/19 12:25
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;2;;20/04/20 12:41;20/04/20 14:14
123456111;José María;Vendedor;CL001;Tienda Matriz;10016;Guarda Ropa;Casa;489,9;999;2;;5/04/20 15:34;9/04/20 9:52
123456111;José María;Vendedor;CL001;Tienda Matriz;10003;Televisor;Electrodomésticos;1400,9;2279,99;2;;17/03/19 9:28;23/03/19 16:19
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;2;;26/04/19 11:43;27/04/19 11:28
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;2;;16/10/19 16:31;17/10/19 16:28
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;2;;13/09/20 9:45;13/09/20 15:49
123456111;José María;Vendedor;CL001;Tienda Matriz;10013;Fogón;Electrodomésticos;210,9;404,1;2;;20/10/20 14:19;27/10/20 12:42
